"Variable Name","Definition","Coding Scheme/Values","Data Format","Notes/Instructions"
"system_name","Name of the project or system","Text","Text","Name of the MCS system or the overall project."
"app_name","Name of the mobile application used to collect data","Text","Text","N/A if no app name given."
"app_source_apk","Indicates if the app is available as APK","1 = Yes, 0 = No","Boolean","1 for APK availability, 0 otherwise."
"app_source_apple","Indicates if the app is from Apple App Store","1 = Yes, 0 = No","Boolean","1 for Apple App Store, 0 otherwise."
"app_source_play","Indicates if the app is from Google Play","1 = Yes, 0 = No","Boolean","1 for Google Play, 0 otherwise."
"app_source_raw","Source of the application","Text","Text","Raw notes on the source of the app."
"app_source_store","Indicates if the app is from a store","1 = Yes, 0 = No","Boolean","1 for store availability, 0 otherwise."
"app_source_unknown","Indicates if the app source is unknown","1 = Yes, 0 = No","Boolean","1 for unknown source, 0 otherwise."
"app_unknown","Indicates if an app for the MCS system is found","1 = Yes, 0 = No","Boolean","1 for unknown, 0 otherwise."
"computing_env_cloud","Indicates if cloud computing is used","1 = Yes, 0 = No","Boolean","1 for cloud computing, 0 otherwise."
"computing_env_fog","Indicates if fog computing is used","1 = Yes, 0 = No","Boolean","1 for fog computing, 0 otherwise."
"computing_env_raw","Computing environment used by the application","Text","Text","Describes the computing environment."
"computing_env_server","Indicates if a central server is used","1 = Yes, 0 = No","Boolean","1 for central server, 0 otherwise."
"computing_env_sum","Indicates the number of computing environments used","Integer","Integer","Count of computing environments."
"computing_env_unknown","Indicates if the computing environment is unknown","1 = Yes, 0 = No","Boolean","1 for unknown environment, 0 otherwise."
"context_aware_any","Indicates if any context-aware features are present","1 = Yes, 0 = No","Boolean","1 for context-aware features, 0 otherwise."
"context_aware_raw","Indicates if the application is context-aware","1 = Yes, 0 = No","Boolean","1 for context-aware, 0 otherwise."
"context_aware_unknown","Indicates if context-aware status is unknown","1 = Yes, 0 = No","Boolean","1 for unknown context-aware status, 0 otherwise."
"crowd_opp","Indicates if opportunistic data is collected","1 = Yes, 0 = No","Boolean","1 for opportunistic data, 0 otherwise."
"crowd_part","Indicates if participatory data is collected","1 = Yes, 0 = No","Boolean","1 for participatory data, 0 otherwise."
"crowd_raw","Description of crowd data collection method","Text","Text","Raw notes on the method of crowd data collection."
"db_raw","Database types used by the application","Text","Text","Describes the database systems utilized."
"db_relational","Indicates if a relational database is used","1 = Yes, 0 = No","Boolean","1 for relational database, 0 otherwise."
"db_unknown","Indicates if the database type is unknown","1 = Yes, 0 = No","Boolean","1 for unknown database type, 0 otherwise."
"dc_raw","Types of data collected by the application","Text","Text","Describes the sensors and data types used."
"github_any","Indicates if any GitHub availability","1 = Yes, 0 = No","Boolean","1 for GitHub availability, 0 otherwise."
"github_raw","Indicates if the app is available on GitHub","Text","Text","Raw notes on the GitHub availability."
"incentivization_raw","Description of incentivization methods used","Text","Text","Raw notes on the incentivization methods."
"os_android","Indicates if Android is supported","1 = Yes, 0 = No","Boolean","1 for Android support, 0 otherwise."
"os_ios","Indicates if iOS is supported","1 = Yes, 0 = No","Boolean","1 for iOS support, 0 otherwise."
"os_other","Indicates if other operating systems are supported","1 = Yes, 0 = No","Boolean","1 for other OS support, 0 otherwise."
"os_raw","Operating systems supported by the application","Text","Text","Lists the operating systems."
"os_sum","Indicates the total number of operating systems supported","Integer","Integer","Count of operating systems."
"os_unknown","Indicates if unknown operating systems are supported","1 = Yes, 0 = No","Boolean","1 for unknown OS support, 0 otherwise."
"paper_found","Number of papers found related to the app","Integer","Integer","Count of papers found."
"paper_found_2006","Number of papers found related to the app","Integer","Integer","Count of papers found."
"paper_found_2007","Indicates if papers from 2006 were found","Integer","Integer","Count of papers found in 2006"
"paper_found_2008","Indicates if papers from 2007 were found","Integer","Integer","Count of papers found in 2007"
"paper_found_2009","Indicates if papers from 2008 were found","Integer","Integer","Count of papers found in 2008"
"paper_found_2010","Indicates if papers from 2009 were found","Integer","Integer","Count of papers found in 2009"
"paper_found_2011","Indicates if papers from 2010 were found","Integer","Integer","Count of papers found in 2010"
"paper_found_2012","Indicates if papers from 2011 were found","Integer","Integer","Count of papers found in 2011"
